filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv3_039.mp4,۱۳۹۰/۰۳/۰۹,5/30/11,2011-05-30,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the comments made by Mostafa Tajzadeh about Mohammad Khatami’s recent speech and the reaction of reformists to those comments.  ,این ویدیو به گزارش تلویزون رسا پیرامون نظرات مصطفی تاجزاده در مورد سخنان اخیر محمد خاتمی و واکنش اصلاح طلبان به این نظرات اختصاص داده شده است.,RASA TV / Reform,اصلاحات / تلویزون رسا ,Mostafa Tajzadeh / Mohammad Khatami,  محمد خاتمی / مصطفی تاجزاده,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_040.mp4,۱۳۹۰/۰۲/۱۳,5/3/11,2011-05-03,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on life, accomplishments, and political positions of Ayatollah Morteza Motahhari. ",این ویدیو به گزارش تلویزون رسا از زندگی,RASA TV / Clergy,روحانیت / تلویزون رسا  ,Morteza Motahhari,مرتضی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_041.mp4,۱۳۹۰/۰۲/۱۴,5/4/11,2011-05-04,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on life, accomplishments, and political positions of Ayatollah Morteza Motahhari. ",این ویدیو به گزارش تلویزون رسا از زندگی,RASA TV / Clergy,روحانیت / تلویزون رسا  ,Morteza Motahhari,مرتضی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_042.mp4,۱۳۹۰/۰۲/۰۷,4/27/11,2011-04-27,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on similarities and differences between the political movements in Iran and Syria.,این ویدیو به گزارش تلویزون رسا از شباهتها و اختلافات جنبشهای ایران و سوریه اختصاص داده شده است.,RASA TV / Freedom Movements / Syria, سوریه / جنبش,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_043.mp4,۱۳۹۰/۰۷/۲۰,10/12/11,2011-10-12,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on the role of Mohammad Khatami, the fifth president of Iran, in the reform movement of this country. ",این ویدیو به گزارش تلویزون رسا از نقش محمد خاتمی، پنجمین رئیس جمهوری ایران، در جنبش اصلاح طلبی این کشور اختصاص داده شده است.,RASA TV / Reform,اصلاحات / تلویزون رسا ,Mohammad Khatami,محمد خاتمی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_044.mp4,۱۳۹۰/۰۲/۱۴,5/4/11,2011-05-04,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the life and accomplishments of Ahmad Zeinabadi.,این ویدیو به گزارش تلویزون رسا از زندگی,RASA TV / Prisoner of Conscience / Press,مطبوعات / زندانی عقیدتی,Ahmad Zeidabadi,احمد زیدآبادی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_045.mp4,۱۳۹۰/۰۳/۲۶,6/16/11,2011-06-16,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the manipulation and distortion of economic data by Ahmadinejad’s administration.,این ویدیو به گزارش تلویزون رسا از دستکاری و تغییر آمارهای اقتصادی در دولت احمدی,RASA TV / Economy,اقتصاد / تلویزون رسا  ,Mahmoud Ahmadinejad,محمود احمدی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_046.mp4,۱۳۹۰/۰۱/۱۵,4/4/11,2011-04-04,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the arrest and court trial of Morteza Kazemain.,این ویدیو به گزارش تلویزون رسا از دستگیری و دادگاه مرتضی,RASA TV / Prisoner of Conscience,زندانی عقیدتی,Morteza Kazemain,مرتضی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_047.mp4,۱۳۹۰/۰۱/۱۴,4/3/11,2011-04-03,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the arrest and court trial of Morteza Kazemain.,این ویدیو به گزارش تلویزون رسا از دستگیری و دادگاه مرتضی,RASA TV / Prisoner of Conscience,زندانی عقیدتی,Morteza Kazemain,مرتضی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_048.mp4,۱۳۷۶/۰۳/۰۲,5/22/97,1997-05-22,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on the historical events that happened on May 22, 1997. ",این ویدیو به گزارش تلویزون رسا از وقایع تاریخی,RASA TV / Islamic Republic,جمهوری اسلامی / تلویزون رسا ,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_049.mp4,۱۳۹۰/۰۱/۰۶,5/26/11,2011-05-26,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the history of dictatorship in Iran. ,این ویدیو به گزارش تلویزون رسا از تاریخ دیکتاتوری در ایران اختصاص داده شده است.,RASA TV / Dictatorship ,استبداد / تلویزون رسا  ,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
